Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
1998,India,Tamil Nadu,Sugarcane,2.19,1627.48,11.81,1.08,9,95.75,44.35,88.08,49.61,Crop Rotation,401.72
2006,Nigeria,South East,Sugarcane,-3.57,1402.97,5.49,2.67,10,19.17,4.38,12.02,44.12,Water Management,1100.44
2015,Brazil,North,Sugarcane,14.69,804.11,23.52,4.248,1,75.67,1.73,78.02,49.8,No Adaptation,1581.37
2020,Australia,Western Australia,Sugarcane,17.77,1743.11,13.69,1.69,2,23.95,39.15,67.61,42.34,Water Management,440.49
2002,China,South,Sugarcane,8.88,947.14,20.78,2.241,2,96.9,41.57,56.67,54.44,Crop Rotation,600.91
1992,Canada,Quebec,Sugarcane,10.05,1945.3,14.37,3.13,6,52.24,35.28,77.08,69.99,Crop Rotation,1307.17
1998,India,Punjab,Sugarcane,16.81,689.7,8.01,3.22,10,40.5,29.23,5.94,97.76,No Adaptation,1036.85
2020,India,West Bengal,Sugarcane,18.74,309.92,20.51,3.042,9,76.58,48.2,73.87,55.53,No Adaptation,1228.61
2010,France,Provence-Alpes-Cote d’Azur,Sugarcane,2.41,256.48,18.95,0.936,4,97.88,15.82,54.91,99.09,Water Management,165.43
2002,Canada,Ontario,Sugarcane,12.66,369.35,17.84,2.0160000000000005,2,77.67,4.51,39.68,93.93,Drought-resistant Crops,887.08
2008,Australia,Western Australia,Sugarcane,29.98,2261.36,25.01,2.043,10,31.72,47.88,30.33,96.13,No Adaptation,779.44
2012,France,Nouvelle-Aquitaine,Sugarcane,12.77,2558.77,10.54,1.6,1,44.32,25.46,87.08,55.42,No Adaptation,553.08
2009,Canada,Quebec,Sugarcane,12.7,968.45,27.67,2.52,2,78.66,28.64,67.21,73.2,Water Management,1247.07
2020,France,Nouvelle-Aquitaine,Sugarcane,17.81,796.73,10.18,3.67,6,58.78,1.44,75.03,57.88,Crop Rotation,1737.96
2007,China,North,Sugarcane,24.47,1646.89,11.21,2.04,10,25.3,32.98,68.66,91.42,Organic Farming,937.12
1992,China,North,Sugarcane,7.06,416.45,1.35,1.404,10,96.22,43.96,48.55,96.09,Drought-resistant Crops,292.31
2002,Russia,Volga,Sugarcane,23.12,484.61,24.01,2.4120000000000004,7,16.23,13.34,92.5,36.52,Crop Rotation,370.95
2019,Canada,British Columbia,Sugarcane,9.43,2895.67,22.42,1.251,6,68.37,6.83,51.42,84.67,No Adaptation,414.26
2003,France,Provence-Alpes-Cote d’Azur,Sugarcane,20.87,638.11,20.1,3.24,3,98.75,49.74,70.07,62.11,Drought-resistant Crops,1084.32
2000,Russia,Siberian,Sugarcane,22.44,2087.3,12.77,2.97,3,93.78,0.1,10.34,89.42,Water Management,1043.39
2011,Brazil,North,Sugarcane,22.27,330.29,14.57,1.278,5,50.61,0.38,22.45,44.23,No Adaptation,142.22
2008,Australia,Western Australia,Sugarcane,12.62,2186.48,5.91,2.43,1,76.98,19.59,56.91,47.45,Organic Farming,255.87
2023,Russia,Central,Sugarcane,23.01,1305.66,5.2,1.7,5,96.54,4.61,48.52,75.25,Crop Rotation,802.52
1992,USA,South,Sugarcane,2.71,2784.8,10.49,1.99,4,44.69,6.19,62.38,32.1,No Adaptation,830.47
1990,Russia,Siberian,Sugarcane,6.52,2970.2,13.1,1.38,0,63.73,14.91,87.23,98.09,No Adaptation,514.78
1995,Canada,Ontario,Sugarcane,6.17,1405.44,18.52,1.314,2,47.06,29.93,26.8,47.28,Water Management,440.4
1999,Australia,Western Australia,Sugarcane,0.29,1368.42,12.43,1.74,10,61.97,13.22,68.35,56.22,Drought-resistant Crops,605.69
2013,China,South,Sugarcane,6.17,596.13,16.94,0.873,6,79.85,47.22,40.3,47.67,Crop Rotation,203.74
2014,Canada,British Columbia,Sugarcane,31.37,2912.07,3.11,3.15,3,47.01,9.53,37.42,47.72,Drought-resistant Crops,381.84
2000,Russia,Northwestern,Sugarcane,29.38,1422.26,12.74,3.33,4,25.12,27.9,78.59,38.07,No Adaptation,1318.8
2021,France,Ile-de-France,Sugarcane,15.55,1127.37,4.25,3.39,2,55.6,23.44,83.05,64.86,Drought-resistant Crops,1133.43
1999,USA,Midwest,Sugarcane,26.46,370.81,19.18,2.826,3,19.71,45.61,35.72,75.83,No Adaptation,1054.52
2018,Canada,Prairies,Sugarcane,17.1,2964.36,1.89,4.83,2,42.84,0.91,47.54,41.75,Drought-resistant Crops,1593.84
2016,India,Tamil Nadu,Sugarcane,18.88,1640.89,7.15,2.82,2,27.54,25.22,98.39,54.9,Water Management,862.5
2021,Canada,Ontario,Sugarcane,34.03,860.89,28.89,3.042,8,11.75,13.54,10.61,95.98,Drought-resistant Crops,1164.06
2002,Argentina,Northwest,Sugarcane,-2.37,1963.68,11.48,2.11,7,67.43,46.26,11.44,79.06,No Adaptation,785.84
2007,France,Provence-Alpes-Cote d’Azur,Sugarcane,25.6,2587.95,19.07,2.637,4,91.71,6.29,1.55,71.14,Drought-resistant Crops,676.82
2007,France,Provence-Alpes-Cote d’Azur,Sugarcane,-2.73,1671.61,18.76,0.7020000000000001,10,46.68,37.95,76.04,70.96,Drought-resistant Crops,328.81
2009,India,West Bengal,Sugarcane,33.14,1537.49,3.82,2.11,0,50.19,36.79,11.6,59.46,Crop Rotation,234.33
2017,India,Tamil Nadu,Sugarcane,13.98,2979.46,25.02,4.203,7,84.27,5.39,92.35,52.04,Drought-resistant Crops,1048.93
2015,Nigeria,South West,Sugarcane,9.89,802.28,14.35,1.28,4,86.61,35.33,13.55,83.85,Water Management,272.03
1992,Brazil,North,Sugarcane,30.8,1823.26,10.72,1.92,10,69.23,6.5,55.32,40.1,No Adaptation,794.95
2016,Nigeria,North Central,Sugarcane,25.99,1371.02,9.03,3.57,8,99.17,48.25,35.47,53.02,Organic Farming,1103.52
1996,Canada,Quebec,Sugarcane,-3.23,2348.57,19.46,1.512,10,23.02,13.01,53.57,81.27,Water Management,416.18
2000,Australia,New South Wales,Sugarcane,5.97,1157.31,3.75,1.44,3,23.09,23.28,39.16,83.46,No Adaptation,595.74
2019,Argentina,Patagonia,Sugarcane,14.01,2532.91,15.15,3.06,2,80.12,19.83,44.5,36.29,Organic Farming,579.97
1990,Russia,Northwestern,Sugarcane,7.19,2625.82,4.48,0.57,10,99.05,32.22,88.34,52.61,No Adaptation,231.11
2015,USA,West,Sugarcane,-3.99,623.29,14.4,1.84,5,92.34,13.02,1.27,99.2,Water Management,482.84
1995,Nigeria,South West,Sugarcane,23.06,772.73,20.61,2.988,10,44.1,40.96,62.25,51.18,Crop Rotation,385.24
2001,Russia,Central,Sugarcane,13.77,1484.06,12.61,1.81,3,23.25,44.58,93.15,82.87,Drought-resistant Crops,210.29
2005,Russia,Siberian,Sugarcane,2.11,623.08,18.35,1.809,7,55.89,2.58,46.55,91.45,Crop Rotation,776.18
1999,USA,West,Sugarcane,24.95,262.55,25.82,2.664,4,46.96,31.39,49.36,92.35,Water Management,848.05
1990,Brazil,Northeast,Sugarcane,2.53,818.35,26.6,2.115,3,64.28,10.28,73.15,53.7,Water Management,285.66
2006,USA,South,Sugarcane,25.08,1283.43,29.91,2.295,9,75.4,39.63,62.34,40.96,No Adaptation,587.88
